gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
160329,000003,20060403,,I0003,ALPHABET INC,GOOGL,02079K305,0001652044,7370
121718,000003,20060602,,I0003,JUNIPER NETWORKS INC,JNPR,48203R104,0001043604,3576
149070,000003,20060811,,I0003,CME GROUP INC,CME,12572Q105,0001156375,6200
175263,000003,20061002,,I0003,WESTERN UNION CO,WU,959802109,0001365135,6099
013599,000003,20061106,20191120,I0003,CELGENE CORP,CELG,151020104,0000816284,2834
165993,000003,20061110,,I0003,FIDELITY NATIONAL INFO SVCS,FIS,31620M106,0001136893,7374
260774,000003,20061110,,I0003,CBRE GROUP INC,CBRE,12504L109,0001138118,6500
111864,000003,20061117,,I0003,COGNIZANT TECH SOLUTIONS,CTSH,192446102,0001058290,7370
029875,000003,20070110,,I0003,AVALONBAY COMMUNITIES INC,AVB,053484101,0000915912,6798
064891,000003,20070202,,I0003,RALPH LAUREN CORP,RL,751212101,0001037038,2320
011115,000003,20070212,,I0003,VARIAN MEDICAL SYSTEMS INC,VAR,92220P105,0000203527,3845
065609,000003,20070302,,I0003,C H ROBINSON WORLDWIDE INC,CHRW,12541W209,0001043277,4213
007063,000003,20070320,,I0003,HOST HOTELS & RESORTS INC,HST,44107P104,0001070750,6798
142953,000003,20070402,,I0003,MONDELEZ INTERNATIONAL INC,MDLZ,609207105,0001103982,2052
157057,000003,20070410,,I0003,ASSURANT INC,AIZ,04621X108,0001267238,6351
177376,000003,20070702,,I0003,DISCOVER FINANCIAL SVCS,DFS,254709108,0001393612,6141
125595,000003,20070712,,I0003,AKAMAI TECHNOLOGIES INC,AKAM,00971T101,0001086222,7370
027965,000003,20070907,,I0003,MICROCHIP TECHNOLOGY INC,MCHP,595017104,0000827054,3674
163610,000003,20070926,,I0003,INTERCONTINENTAL EXCHANGE,ICE,45866F104,0001571949,6200
126296,000003,20071002,,I0003,EXPEDIA GROUP INC,EXPE,30212P303,0001324424,4700
007912,000003,20071008,,I0003,NOBLE ENERGY INC,NBL,655044105,0000072207,1311
004494,000003,20071010,,I0003,EXPEDITORS INTL WASH INC,EXPD,302130109,0000746515,4731
006216,000003,20071026,,I0003,JACOBS ENGINEERING GROUP INC,J,469814107,0000052988,1600
105365,000003,20071119,,I0003,AMERICAN TOWER CORP,AMT,03027X100,0001053507,6798
179621,000003,20080331,,I0003,PHILIP MORRIS INTERNATIONAL,PM,718172109,0001413329,2111
013125,000003,20080331,20191104,I0003,HEALTHPEAK PROPERTIES INC,PEAK,42250P103,0000765880,6798
136725,000003,20080602,,I0003,INTUITIVE SURGICAL INC,ISRG,46120E602,0001035267,3845
020548,000003,20080623,,I0003,CABOT OIL & GAS CORP,COG,127097103,0000858470,1311
160225,000003,20080718,,I0003,MASTERCARD INC,MA,57636Q104,0001141391,6099
061483,000003,20080731,,I0003,DAVITA INC,DVA,23918K108,0000927066,8090
029804,000003,20080821,,I0003,INVESCO LTD,IVZ,G491BT108,0000914208,6282
163946,000003,20080827,,I0003,CF INDUSTRIES HOLDINGS INC,CF,125269100,0001324404,2870
014225,000003,20080915,,I0003,FASTENAL CO,FAST,311900104,0000815556,5000
157855,000003,20080915,,I0003,SALESFORCE.COM INC,CRM,79466L302,0001108524,7372
014359,000003,20080924,,I0003,PIONEER NATURAL RESOURCES CO,PXD,723787107,0001038357,1311
014282,000003,20080930,,I0003,AMPHENOL CORP,APH,032095101,0000820313,3678
004108,000003,20081002,,I0003,FLOWSERVE CORP,FLS,34354P105,0000030625,3561
149337,000003,20081022,,I0003,NASDAQ INC,NDAQ,631103108,0001120193,6200
011550,000003,20081031,,I0003,WEC ENERGY GROUP INC,WEC,92939U106,0000783325,4931
009777,000003,20081106,,I0003,SMUCKER (JM) CO,SJM,832696405,0000091419,2033
016245,000003,20081113,,I0003,PEOPLE'S UNITED FINL INC,PBCT,712704105,0001378946,6020
013700,000003,20081114,,I0003,DENTSPLY SIRONA INC,XRAY,24906P109,0000818479,3843
